BOM Level,Level,Row,Item,Component number,Object description,Quantity,Un,Ict,B,Price
"",..2,65,570,L16A133,MSTRT 1A~1.6A GV2~ME06 SCHN,1,EA,L,,
"",..2,66,580,L16A107,"CONT.3 POLE 24VDC LC1D09BD, SCHNEIDER",1,EA,L,,
"",..2,67,590,Z643Y2130020,COMBINATION BLOCK TELE GV2-AF3,1,EA,L,,
"",..2,68,600,L16A092,"AUX.CONT SW,1NO1NC GV AE11, SCHNEIDER",2,EA,L,,
"",..2,69,610,Z643Y2030020,TERMINAL BLOCK SCHNEIDER GV1-G09,1,EA,L,,
"",..2,70,620,L16A115,"BUS BAR COVER GV1G10, SCHNEIDER",1,EA,L,,
"",..2,71,630,L16A088,"3P BUS BAR, GV2 G345 (3), SCHNEIDER",1,EA,L,,
"",..2,72,640,L16A120,MSTRT 1.6A~2.5A GV2ME07 SCHNEIDER,1,EA,L,,
"",..2,73,650,L16A189,"REV CONT.9A,NC 24V,LP2K0901BD,SCHNEIDER",1,EA,L,,
"",..2,74,660,L16A149,"INTERCON BLK FOR K CONT,GV2-AF01,SCHN",1,EA,L,,
"",..2,75,670,Z643L1300201,RELAY PANASONIC AHN22324,4,EA,L,,
"",..2,76,680,Z643L1310201,RELAY SOCKET AHNA21/AHNA21K (PANASONIC),4,EA,L,,
"",..2,77,690,Z697I0140003,WAGO TB 2002-1401 Grey 2.5mm 4W,4,EA,L,,
"",..2,78,700,Z697I0130004,"WAGO TB Jumper 2002-402, 2W",2,EA,L,,
"",..2,79,710,L15C232,"TERM END PLATE 2002~1492, 4 CONN",1,EA,L,,
"",..2,80,720,L15C218,"TERM END STOPPER 249~116, 6MM",3,EA,L,,
"",..2,81,730,L15C073,"CARRIER RAIL 210-112,35X7.5MM,WAGO",0.2,M,L,1,
"",..2,82,740,Z271M7004010,FLAT HD SCREW M4 X 10,2,EA,L,1,
"",..2,83,750,Z646G0101000,CABLE TIE TC-100,5,EA,L,1,
"",..2,84,760,Z271J9505008,PAN HD SCR M5X8 WITH WASHER,7,EA,L,,
"",..2,85,770,Z271J9503006,"PAN HD SCR M3X6,WITH WASHER",6,EA,L,1,
"",..2,86,780,Z274A7004000,"NUT, HEX M4 (STAINLESS)",30,EA,L,1,
"",..2,87,790,Z275A7000400,WASHER M4 (STAINLESS),30,EA,L,1,
"",..2,88,800,Z274A7005000,"NUT, HEX M5 (STAINLESS)",1,EA,L,1,
"",..2,89,810,Z275A7000500,WASHER M5 (STAINLESS),1,EA,L,1,
"",..2,90,820,Z271J9504008,PAN HD SCR W WASHER M4X8,3,EA,L,1,
"",..2,91,830,E26VS691A003-00,CABLE OP.PNL ~ EARTH,1,EA,L,,
"",..2,92,840,E23VS694A700-02,"CABLE, XC6~OP RELAYS",1,EA,L,,
"",..2,93,850,E21VS192A009-02,CABLE CE.IOM(CE56)~CE PCB(CE56),1,EA,L,,
"",..2,94,860,E21VS694A014-02,CABLE CXA2A~CXA2B 150MM,2,EA,L,,
"",..2,95,870,E21VS694A015-02,CABLE CXA2A~CXA2B 90MM,1,EA,L,,
"",..2,96,880,E21VS694A022-03,CABLE TB30 ~ CXA2D(PSM),1,EA,L,,
"",..2,97,890,E21VS694A028-01,"CABLES PSM,SPM,SVM ~ EARTH",1,EA,L,,
"",..2,98,900,E26VS694A077-00,CABLE IOM1(CE56A)~PCB(CE56C),1,EA,L,,
"",..2,99,910,E26VS694A078-00,CABLE IOM1(CE57A)~PCB(CE57C),1,EA,L,,
"",..2,100,920,E21VS694A043-04,CABLE MTC.IOM(JD1A)~MTC.IOM(JD1B),1,EA,L,,
"",..2,101,930,E21VS694A044-02,CABLE OPTION XE2-LOOPS,1,EA,L,,
"",..2,102,940,E21VS694A045-02,CABLE OPTION XE3-LOOPS,1,EA,L,,
"",..2,103,950,E21VS694A046-02,CABLE OPTION XE4-LOOPS,1,EA,L,,
"",..2,104,960,E21VS694A047-02,CABLE OPTION XE5-LOOPS,1,EA,L,,
"",..2,105,970,E21VS694A064-01,CABLE SW269~MTC,1,EA,L,,
"",..2,106,980,E21VS694A065-01,CABLE OKAYA SURGE,1,EA,L,,
"",..2,107,990,E23VS694A070-01,CABLE JD51A~JD1B,1,EA,L,,
"",..2,108,1000,E26VS694A004-01,CABLE TB0 ~ CP,1,EA,L,,
"",..2,109,1010,E26VS694A005-01,CABLE MCC ~ MCF/TB20~PSM(CX3) / MCC,1,EA,L,,
"",..2,110,1020,E26VS694A006-02,CABLE TB0 ~ MCC,1,EA,L,,
"",..2,111,1030,E26VS694A007-02,CABLE MCC ~ ACR,1,EA,L,,
"",..2,112,1040,E26VS694A008-01,CABLE ACR ~ PSM,1,EA,L,,
"",..2,113,1050,E26VS694A010-01,CABLE MAIN.PCB ~ CP,1,EA,L,,
